clean_review,top_sentiment_label,top_sentiment_score
대전 용운 국제 수영장 대회 천안 성심당 본점 위치 상황 정오 주차장 주차 네이버 지도 검색 성심당 본점 골목 사람 성심당 웨이팅 정도 평소 성심당 상황 성심당 전국 유명 빵집 군산 이성당 전주 풍년제 남원 명문 제과 대구 빵집 목포 코롬방 마산 고려 천안 뚜쥬루 대전 성심당 정복 사람 고객 주차장 지도 안내 인파 입장 매장 사람 생각 가격 느낌 가성비 생각 주변 성심당 솜씨 카페 그로서리 구경 시간 무료 주차 사용 생각 대전 성심당 본점 방문기,즐거움/신남,0.8412045836448669
봉지 부띠끄 사람 비닐 주심 센스 메아리 대전 사람 다음 대전,즐거움/신남,0.7269203066825867
대전 여행 알파 오메가 성심당 본점 대전 시내 위치 기차 도보 거리 주차 주차장 주차장 주차 토요일 오후 사람 만큼 다양 성지 소리 정도 방문 점이 주차 가짓수 본점 케잌부띠끄 카페 시설 주변 밀집 이곳저곳 장점 보장 가격 유명 빵집 장점 대전 오기 방문 예정,기대감,0.93607497215271
평일 사람 가게 내부 통로 이동 불편 종류 실패 애플 브리 치즈 샌드위치 기대,기대감,0.8496021628379822
대기 예상 메뉴 생각 추천 내부 이곳저곳,기대감,0.9325089454650879
유명 대전 성심당 유명 평일 생각 평일 대기 내부 직원 정신 종류 생각 회전 상태 종류 유지 정도 계산 시간 일사불란 직원 녀석 유명 느낌 정도 완벽 종류 정도 따름 가격 느낌 동네 베이커리 간판 가격 창궐 반성,기대감,0.7845590114593506
민호 베스트 베이커리 민호 가성비 베이커리 대전 정도 국내 유명 빵집 당일 당일 소진 원칙 가격 대비 최상 출력 가격 가격 생각 최근 성심당 베이커리 전국 개인 군산 성당 근본 생각 찰기 과장 사용 밀가루 성심당 인기 메뉴 아래 튀김 종류 고로케 종류 명란 바게트 순수 보문산 메아리 보름달 탁순희빵 토요빵 카카오 순정 키다리 트위스트 잠봉뵈르 부추빵 대전 기원 정체 유지 프랜차이즈 기부 취약 계층 활동 시간 지역 사회 공헌 온기 참고 사항 주차 불가 자차 방문 현대 주차장 공원 주차장 이용 망고 시루 케익 케익 부띠끄 웨이팅 시간 여유 방문,기대감,0.7608057856559753
주말 방문 웨이팅 정도 소진 가게 내부 사람 혼잡 종류 다양 다음 방문,기대감,0.7081058621406555
성심당 임산부 프리 패스 확인서 산모 수첩 덕분 바깥 입장 가격,없음,0.7614784240722656
성심당 본점 테라스 키친 방문 금요일 오후 대기 시간 이상 전설 팥빙수 가격 추가,없음,0.838626503944397
주말 생각 사람 매장 사람 대전 친구 성심당 기본 심플 쫜득 가성비 천국 승천 관광 명소 생각,즐거움/신남,0.9746048450469971
본점 정신 생각 종류 유명 재고 구매 가격 부담 만족,안심/신뢰,0.8616706728935242
웨이팅 정도 센스 에어컨 우산 전체 가격 명란 바게트,없음,0.6684971451759338
건물 외관 냄새 지갑 이번,불평/불만,0.9196493029594421
시간 매장 인산인해 직원 친절 추천 의미 행복 가지 내부 카운터 안내 주말 공휴일 사람 야키소바 브리 치즈 샌드위치 사람 대기 야키소바빵 구경 행복 만족,즐거움/신남,0.9607118368148804
성심당 본점 건물 포스 바깥 라인 펜스 롯데월드 매직 아일랜드 대전 구분 입장 지옥 매장 예수턴국 불신지옥 지라시 의문 영감 성심당 정설 출근길 호선 사람 와중 의지 계산대 마이크 안내 질서 정리 도움 사람 행복 사고 매너 새치기 피해 모습 대전 시민 생각 하루 종류 지옥 때문,짜증,0.9331138730049133
평일 수요일 오전 당황 가성비 전반 야끼소바,기대감,0.8223364949226379
시간 저녁 정도 사실 마감 시간 조기 마감 빵집 마감 직전 판매 감사 성심당 의외 의외 건빵 외부 일정 식사 성심당 기본 종류 건빵 고로케 내부 이것저것 채식 베지테리언 버전 마음 구매시 주차 가능,즐거움/신남,0.8247009515762329
가족 생일 케잌 방문 대전 성심당 케잌 치즈케이크,기쁨,0.7331928014755249
종류 다양 가격 사람 용서,기대감,0.7848769426345825
기업 기업 죄책감,없음,0.5613072514533997
월요일 오전 기준 웨이팅 방문 정도 웨이팅 시간 준비 소보로 개인 고구마 먹물 방망이 추천,없음,0.8491878509521484
사람,없음,0.7831407189369202
메아리 본점 비밀 아묻따 메아리 필수 명란 바게트 최고 도리 정복 성공 김치 주먹밥 대전 역점 재고,기대감,0.8837069869041443
가성비 페스츄리 샌드위치 만족 사람,즐거움/신남,0.8950287103652954
주말 사람 생각 정도 통유리 신뢰 순서 구매 자율 결제 장점 재고 부족 리필 때문 회전 사람 단점 사람 구매 결제 조금 주차 골목 공원 주차장 성심당 전용 주차장 현대 주차장 방문,없음,0.8760063648223877
성심당 주말 공휴일 정도 웨이팅 생각,없음,0.7009993195533752
가격 재미 성심당 기부 소비 기분 사람 구경 재미,즐거움/신남,0.9587210416793823
서울 성심당 기차타고 방문 성심당 본점 웨이팅 내부 가격 초코튀김소,즐거움/신남,0.7019915580749512
대전 성심당 성심당 골목 삼성 타운 저리가라 압도 느낌 가성비 케익 튀김소보로 팥소 달앟음 고구마 유명 부추 나머지,감동/감탄,0.9618736505508423
성심당 대전 관문 대전 대전 지역 체인 출점 대전 자존심 대전 첫인상 성심당 대전 사람 자부심,감동/감탄,0.828482985496521
주말 아침 대기 튀김소보로,기대감,0.7698790431022644
전투 처음,없음,0.773134171962738
본점 방문 사람 대기 관리 직원 줄얶 주말 기준 정도 대기 입장 가능 가격,없음,0.8014472126960754
평일 웨이팅 종류 키친 빙수 음식,없음,0.8321679830551147
무화과 크림,없음,0.8920822739601135
혜자 가격 이유,안심/신뢰,0.7260433435440063
대전 성심당 성심당 대전 대전 여행 추가 유명 이유,즐거움/신남,0.8982807397842407
성심당 주차장 유료 주차장 이용 무료 주차장 확인,없음,0.9125597476959229
가격 오픈 빵집 웨이팅 부띠크 사진 사진 웨이팅 난리,없음,0.7435948252677917
소보로 잠봉뵈르 바게트 사진 김치 치즈 주먹밥 에프 부추 에그마요 때문 명란 바게트 본점 웨이팅 전설 팥빙수 딸기 빙수 패션후르츠에이드 오므라이스 치킨 까스 오므라이스,없음,0.8637204170227051
성심당 시간 도착 주변 길거리 사람 성심당 가방 전체 다음 방문 예정 성심당 인기 이유,기대감,0.9333920478820801
입구 웨이팅 생각 베이커리 직원 케어 친절 성심당 성심당,기쁨,0.8567504286766052
사람 너어어어무 부띠끄 명란 바게트 품절,즐거움/신남,0.8974692225456238
대전 자랑 후회 여름 양산 배치 머리 품절 이어 리필 보문산 메아리 개개 페스츄리 소금 타이거 브레드 선두 주자 크림치즈 낭낭,즐거움/신남,0.9299302697181702
모해 성심당 주말 오전,없음,0.8257178664207458
대한민국 빵집 정도 보통,없음,0.8617830276489258
전쟁 평균 이상 가성비,기대감,0.7833951115608215
주말 사람 고민 시간 사고 구조 부추 튀소 베스트 메뉴 이유,기대감,0.762528657913208
웨이팅 애플 샌드위치 가격 합리,기대감,0.6355089545249939
가성비 대박 빵집 대전 동네 생각,즐거움/신남,0.9621348977088928
대전 성심당 가격 근처 사람 구매,없음,0.8895325660705566
대전 방문 성심당 주말 아침 방문 웨이팅 전반 튀김소보,즐거움/신남,0.6368027925491333
대전 성심당 성심당 초코 소라빵,없음,0.8005315065383911
주말 웨이팅 여름 웨이팅 가성비,즐거움/신남,0.9212968945503235
와중 질서 구매 가격,기대감,0.791000247001648
가격,없음,0.7541237473487854
주말 아침 정도 사람 잠봉뵈르 꿀맛,즐거움/신남,0.9716207385063171
사람 명란 바게트,없음,0.8203396797180176
대전 웨이팅 만족 성심당,기쁨,0.9591052532196045
대전 본점 다양 사람 롯백 백화점 본점 사람 때뭉에용,짜증,0.7673159241676331
성심당 가격 요즘 물가,없음,0.6586334109306335
오픈 자제 정도,없음,0.8196179866790771
대한민국 빵집 성심당 소보 단팥,없음,0.811376690864563
성심당 가성비,없음,0.7373970150947571
주말 오후 생각 대기 개인 튀김소보로와 애플브리 치즈,즐거움/신남,0.8476026058197021
대전 성심당 시작 성심당 대전 명성 종류 가격 프랜차이즈 빵집 가격 혜자 성심당 튀소 고로케 크림 베이직 보문산 메아리 보문산 메아리,즐거움/신남,0.8569647669792175
기대 이상 상상 소보루 생각 보루 부분 요즘 물가 가격 사람 너어어어어무 웨이팅 필수 계산 명란 바게뜨 품절 주문 사람 오바 생각 방문 추천,기대감,0.9710111618041992
두말 필요 전국 빵집 유명 성심당 개인 추천 튀김소보로 고구마 튀김소보로 기본 소개 브리 치즈 샌드위치 강력 추천 바게트 명란 바게트 짠맛 소금 가성비 부추 계란 딸기튀소 대조 웨이팅 회전 때문,즐거움/신남,0.8855556845664978
공영 주차장 주차 가능 이상 구매 주차 제공 정신 직원 와중 친절 가격 전체 만족 명란 바게뜨 크림 소금 김치 삼각 주먹밥 추천,안심/신뢰,0.855720043182373
대전 명물 성심당 유명 튀김 소보 부추 이외 샌드위치 이것저것 가성비 가격 반미 샌드위치 명란 바게트 추천 계산 가격 대전 방문 빵집,기대감,0.7812377214431763
대전 자체 성심당 방문 대전 사람 성심당 튀김 보루 때문 초코튀소 튀소 부추빵 고구마튀소 튀소 외의 방문 튀소 종류 사람 명성 가격 경우 성심당 명성 가격 구매 정도 거리 공원 시간 무료 주차 가능 때문 최대 가성비 생각 무료 주차 성심당 이상 구매 카운터 요청 가격 기대 포장 대전 성심당 유명 물건 성심당 통용 가격 상타치 다음 대전 방문 의사,기대감,0.9064866304397583
